season,team,player_id,player_name,spine_metric,games,spine_opps,team_spine_opps,spine_opps_stress,team_spine_opps_stress,spine_opps_calm,team_spine_opps_calm,share_overall,share_stress,share_calm,confidence_delta
2026,PIT,00-0039739,R.Wilson,targets,2,12,74,6,27,6,47,0.1622,0.2222,0.1277,0.0946
2026,WAS,00-0039912,B.Sinnott,targets,1,1,34,0,15,1,19,0.0294,0.0,0.0526,-0.0526
2026,LAC,00-0033885,D.Njoku,targets,2,8,53,4,23,4,30,0.1509,0.1739,0.1333,0.0406
2026,NYG,00-0039337,M.Nabers,targets,2,13,61,5,25,8,36,0.2131,0.2,0.2222,-0.0222
2026,MIN,00-0033293,A.Jones,rush_attempts,2,35,58,12,21,23,37,0.6034,0.5714,0.6216,-0.0502
2026,GB,00-0039146,J.Reed,targets,2,8,69,3,28,5,41,0.1159,0.1071,0.122,-0.0148
2026,MIA,00-0037252,G.Dulcich,targets,2,5,50,1,16,4,34,0.1,0.0625,0.1176,-0.0551
2026,SF,00-0041052,K.Black,rush_attempts,2,21,52,4,13,17,39,0.4038,0.3077,0.4359,-0.1282
2026,PHI,00-0038393,D.Wicks,targets,2,10,56,9,30,1,26,0.1786,0.3,0.0385,0.2615
2026,DEN,00-0035406,L.Humphrey,targets,1,1,29,0,11,1,18,0.0345,0.0,0.0556,-0.0556
2026,CHI,00-0040236,K.Monangai,rush_attempts,2,20,60,5,21,15,39,0.3333,0.2381,0.3846,-0.1465
