season,week,game_id,team,player_id,player_name,position,spine_metric,spine_opportunities,spine_opps_stress,spine_opps_calm,team_spine_opportunities,team_spine_opps_stress,team_spine_opps_calm,targets,rushes,team_qb_designed_runs,team_qb_runs_inside_5,team_qb_runs_stress
2026,2,2026_02_WAS_DAL,WAS,00-0039910,J.Daniels,QB,rush_attempts_qb,1,1,0,25,7,18,0,1,1,0,1
2026,1,2026_01_ARI_LAC,ARI,00-0039849,M.Harrison,WR,targets,3,0,3,37,14,23,3,0,5,0,3
2026,1,2026_01_ARI_LAC,LAC,00-0040666,O.Hampton,RB,rush_attempts,12,4,8,16,6,10,0,12,0,0,0
2026,1,2026_01_ATL_PIT,ATL,00-0037238,D.London,WR,targets,4,2,2,19,6,13,4,1,0,0,0
2026,1,2026_01_BUF_HOU,BUF,00-0039875,R.Davis,RB,rush_attempts,1,0,1,20,8,12,0,1,5,1,3
2026,1,2026_01_CLE_JAX,CLE,00-0040663,H.Fannin,TE,targets,3,2,1,22,4,18,3,0,3,0,2
2026,1,2026_01_CLE_JAX,JAX,00-0038611,C.Rodriguez,RB,rush_attempts,6,3,3,32,10,22,0,6,5,0,2
2026,1,2026_01_DAL_NYG,NYG,00-0036309,D.Mooney,WR,targets,2,0,2,29,13,16,2,0,9,0,6
2026,1,2026_01_DEN_KC,DEN,00-0040134,P.Bryant,WR,targets,6,1,5,27,11,16,6,0,2,0,0
2026,1,2026_01_DEN_KC,KC,00-0039894,X.Worthy,WR,targets,6,3,3,25,12,13,6,0,3,0,3
2026,1,2026_01_GB_MIN,MIN,00-0036425,D.Dallas,RB,rush_attempts,0,0,0,31,12,19,1,0,4,0,2
2026,1,2026_01_GB_MIN,GB,00-0037091,B.Melton,WR,targets,1,0,1,40,15,25,1,0,1,0,1
2026,1,2026_01_MIA_LV,MIA,00-0039880,M.Washington,WR,targets,8,1,7,27,6,21,8,0,1,0,0
2026,1,2026_01_NYJ_TEN,NYJ,00-0038120,B.Hall,RB,rush_attempts,22,7,15,37,14,23,2,22,4,0,2
2026,1,2026_01_NYJ_TEN,TEN,00-0041438,C.Tate,WR,targets,6,2,4,28,11,17,6,0,0,0,0
2026,1,2026_01_SF_LA,SF,00-0035719,D.Samuel,WR,targets,7,4,3,34,16,18,7,1,3,0,2
2026,1,2026_01_WAS_PHI,WAS,00-0040242,J.Croskey-Merritt,RB,rush_attempts,16,4,12,29,13,16,1,16,2,0,2
2026,1,2026_01_WAS_PHI,PHI,00-0034844,S.Barkley,RB,rush_attempts,15,3,12,20,6,14,2,15,2,0,2
2026,2,2026_02_CIN_HOU,HOU,00-0038608,K.Boutte,WR,targets,5,2,3,50,19,31,5,0,0,0,0
2026,2,2026_02_CLE_TB,CLE,00-0038710,B.Whiteheart,TE,targets,2,1,1,30,11,19,2,0,4,0,2
2026,2,2026_02_CLE_TB,TB,00-0040129,E.Egbuka,WR,targets,5,2,3,33,16,17,5,1,1,0,1
2026,2,2026_02_DET_BUF,BUF,00-0036988,J.Palmer,WR,targets,3,1,2,28,11,17,3,0,9,1,7
2026,2,2026_02_GB_NYJ,NYJ,00-0037740,G.Wilson,WR,targets,7,5,2,36,18,18,7,0,1,0,0
2026,2,2026_02_IND_KC,IND,00-0038997,J.Downs,WR,targets,9,4,5,30,12,18,9,0,1,0,1
