season,week,season_type,game_id,player_id,team,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,racr,target_share,air_yards_share,wopr,ingest_run_id
2026,2,REG,2026_02_WAS_DAL,00-0039913,WAS,DAL,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_LV_LAC,00-0039915,LAC,LV,3,3,35,0,0,0,34,1.0,2,5.14228158688638,0,2,1,0,0,1.02941176470588,0.115384615384615,0.12639405204461,0.26155275950815,20260925T013701Z
2026,2,REG,2026_02_MIN_CHI,00-0039918,CHI,MIN,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_MIN_CHI,00-0039919,CHI,MIN,3,4,43,0,0,0,47,2.0,2,1.55297601834172,0,2,1,1,0,0.914893617021277,0.133333333333333,0.248677248677249,0.374074074074074,20260925T013701Z
2026,2,REG,2026_02_CLE_TB,00-0039920,CLE,TB,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_MIN_CHI,00-0039924,MIN,CHI,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_WAS_DAL,00-0040008,DAL,WAS,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,00-0040010,GB,NYJ,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_WAS_DAL,00-0040011,DAL,WAS,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_PHI_TEN,00-0040013,PHI,TEN,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_PHI_TEN,00-0040020,TEN,PHI,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_PHI_TEN,00-0040024,PHI,TEN,2,3,26,1,0,0,25,18.0,2,3.19774804764893,0,1,1,1,0,1.04,0.0882352941176471,0.0856164383561644,0.192284448025786,20260925T013701Z
2026,2,REG,2026_02_PHI_TEN,00-0040041,TEN,PHI,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_WAS_DAL,00-0040045,DAL,WAS,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_MIA_SF,00-0040066,MIA,SF,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_IND_KC,00-0040072,KC,IND,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,00-0040074,BAL,NO,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,00-0040075,BAL,NO,1,2,14,0,0,0,10,19.0,1,0.0697465799748898,0,1,0,0,0,1.4,0.0689655172413793,0.0311526479750779,0.125255129444623,20260925T013701Z
2026,2,REG,2026_02_IND_KC,00-0040078,KC,IND,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_CLE_TB,00-0040089,TB,CLE,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,00-0040100,BAL,NO,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,00-0040104,BAL,NO,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_LV_LAC,00-0040122,LV,LAC,4,7,15,0,0,0,2,25.0,0,-4.52646994398674,0,0,0,0,0,7.5,0.241379310344828,0.00706713780918728,0.367015961983673,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,00-0040124,CAR,ATL,5,10,101,0,0,0,132,16.0,4,3.58151851549688,0,4,3,3,0,0.765151515151515,0.3125,0.42443729903537,0.765856109324759,20260925T013701Z
