season,team,player_id,player_name,position,games,spine_metric,spine_opps,team_spine_opps,share_overall,spine_opps_stress,team_spine_opps_stress,share_stress,spine_opps_calm,team_spine_opps_calm,share_calm,confidence_delta,depth_pos,depth_rank,depth_as_of_week,opp_i20,opp_i10,opp_i5,opp_g2g,td_i20,td_i5,team_opp_i20,pct_i20_intra,pct_i20_shrunk,pct_i10_shrunk,pct_i5_shrunk,pct_g2g_shrunk,touches,scrimmage_yards,yards_per_touch,scrimmage_yards_share_intra,scrimmage_tds,usage_rank_on_team,usage_rank_in_pos_group
2026,NYG,00-0039847,T.Johnson,TE,2,targets,5,61,0.082,1,25,0.04,4,36,0.1111,-0.0711,TE,2,18,,,,,,,,,,,,,1,9,9.0,0.0228,0,8,2
2026,NYJ,00-0030565,G.Smith,QB,2,rush_attempts_qb,5,60,0.0833,2,20,0.1,3,40,0.075,0.025,QB,1,18,1,0,0,0,0,0,14,0.0714,0.0556,0.0,0.0,0.0,11,24,2.18,0.0352,0,7,1
2026,PIT,00-0035640,D.Metcalf,WR,2,targets,19,74,0.2568,8,27,0.2963,11,47,0.234,0.0623,WR,1,18,,,,,,,,,,,,,8,67,8.38,0.1203,0,2,1
2026,PIT,00-0039739,R.Wilson,WR,2,targets,12,74,0.1622,6,27,0.2222,6,47,0.1277,0.0946,WR,3,18,,,,,,,,,,,,,8,54,6.75,0.0969,0,4,2
2026,PIT,00-0041489,G.Bernard,WR,1,targets,8,37,0.2162,3,11,0.2727,5,26,0.1923,0.0804,WR,4,18,1,0,0,1,0,0,6,0.1667,0.1,0.0,0.0,0.2,4,35,8.75,0.1259,0,6,3
2026,PIT,00-0036252,M.Pittman,WR,1,targets,3,37,0.0811,1,16,0.0625,2,21,0.0952,-0.0327,WR,2,18,,,,,,,,,,,,,3,58,19.33,0.2079,0,9,4
2026,PIT,00-0036862,B.Skowronek,WR,1,targets,1,37,0.027,0,11,0.0,1,26,0.0385,-0.0385,WR,5,18,,,,,,,,,,,,,1,2,2.0,0.0072,0,11,5
2026,TEN,00-0035261,T.Pollard,RB,2,rush_attempts,21,37,0.5676,8,15,0.5333,13,22,0.5909,-0.0576,RB,1,18,5,3,1,4,0,0,16,0.3125,0.25,0.25,0.1111,0.3077,23,99,4.3,0.193,0,1,1
2026,TEN,00-0039032,T.Spears,RB,2,rush_attempts,10,37,0.2703,4,15,0.2667,6,22,0.2727,-0.0061,RB,2,18,1,0,0,1,0,0,16,0.0625,0.05,0.0,0.0,0.0769,14,94,6.71,0.1832,0,3,2
2026,TEN,00-0040886,N.Singleton,RB,1,rush_attempts,4,27,0.1481,1,14,0.0714,3,13,0.2308,-0.1593,RB,3,18,1,0,0,0,0,0,16,0.0625,0.05,0.0,0.0,0.0,4,10,2.5,0.0328,0,7,3
2026,DAL,00-0036358,C.Lamb,WR,2,targets,17,61,0.2787,7,23,0.3043,10,38,0.2632,0.0412,WR,1,18,3,2,2,2,2,2,19,0.1579,0.1304,0.1538,0.1818,0.1667,14,197,14.07,0.3345,3,2,1
2026,DAL,00-0037247,G.Pickens,WR,2,targets,14,61,0.2295,7,23,0.3043,7,38,0.1842,0.1201,WR,2,18,1,1,0,0,0,0,19,0.0526,0.0435,0.0769,0.0,0.0,9,68,7.56,0.1154,0,3,2
2026,DAL,00-0039410,R.Flournoy,WR,2,targets,10,61,0.1639,2,23,0.087,8,38,0.2105,-0.1236,WR,3,18,,,,,,,,,,,,,7,45,6.43,0.0764,0,4,3
2026,DAL,00-0039062,J.Mingo,WR,1,targets,1,30,0.0333,0,11,0.0,1,19,0.0526,-0.0526,WR,5,18,,,,,,,,,,,,,1,10,10.0,0.041,0,9,4
2026,DAL,00-0037801,K.Turpin,WR,2,targets,1,61,0.0164,0,23,0.0,1,38,0.0263,-0.0263,WR,4,18,1,0,0,0,0,0,19,0.0526,0.0435,0.0,0.0,0.0,2,9,4.5,0.0153,0,11,5
