team,season,rank_on_team,player_name,position,spine_metric,depth_pos,depth_rank,depth_surplus,usage_index_score,usage_role,stress_score,redzone_score,share_score,depth_score,return_score,spine_opps,team_spine_opps,share_overall,share_calm,share_stress,confidence_delta,opp_i20,team_opp_i20,yards_per_touch,scrimmage_yards
CHI,2026,1,D.Swift,RB,rush_attempts,RB,1,0,71.0,ROTATIONAL CONTRIBUTOR,51.2,100.0,100.0,50.0,46.3,34,60,0.5667,0.5641,0.5714,0.0073,9,25,5.83,233
CHI,2026,2,K.Raymond,WR,targets,WR,3,2,54.1,RISING -- OUT-EARNING DEPTH CHART,62.8,16.0,71.4,83.3,41.2,14,56,0.25,0.2069,0.2963,0.0894,2,25,9.54,124
CHI,2026,3,K.Monangai,RB,rush_attempts,RB,2,0,49.9,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,33.4,37.2,95.2,50.0,44.0,20,60,0.3333,0.3846,0.2381,-0.1465,4,25,7.58,182
CHI,2026,4,C.Williams,QB,rush_attempts_qb,QB,1,0,46.8,"CLOSER -- SMALL ROLE, BIG MOMENTS",66.5,43.4,23.8,50.0,32.1,5,60,0.0833,0.0256,0.1905,0.1648,4,25,7.13,107
CHI,2026,5,L.Burden,WR,targets,WR,2,0,46.5,PRIMARY -- TRUSTED UNDER PRESSURE,61.7,10.8,61.2,50.0,40.9,12,56,0.2143,0.1724,0.2593,0.0868,2,25,10.78,97
CHI,2026,6,C.Kmet,TE,targets,TE,2,0,33.6,INSUFFICIENT SAMPLE,50.3,0.0,20.4,50.0,53.6,4,56,0.0714,0.069,0.0741,0.0051,,,17.5,35
CHI,2026,7,J.Walker,WR,targets,WR,5,1,32.3,INSUFFICIENT SAMPLE,54.0,16.9,11.0,66.7,0.2,1,26,0.0385,0.0,0.1111,0.1111,1,25,1.0,1
CHI,2026,8,R.Odunze,WR,targets,WR,1,-2,31.7,ROTATIONAL CONTRIBUTOR,43.9,0.0,35.7,16.7,63.4,7,56,0.125,0.1724,0.0741,-0.0983,,,19.0,95
CHI,2026,9,S.Roush,TE,targets,TE,3,0,31.6,INSUFFICIENT SAMPLE,46.0,5.4,28.6,50.0,25.7,3,30,0.1,0.1667,0.0556,-0.1111,1,25,9.0,9
CHI,2026,10,C.Loveland,TE,targets,TE,1,0,30.7,ROTATIONAL CONTRIBUTOR,48.2,10.8,25.5,50.0,6.7,5,56,0.0893,0.1034,0.0741,-0.0294,2,25,3.0,3
CIN,2026,1,C.Brown,RB,rush_attempts,RB,1,0,64.8,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,39.7,96.6,100.0,50.0,34.1,36,49,0.7347,0.7586,0.7,-0.0586,7,18,3.64,160
CIN,2026,2,M.Gesicki,TE,targets,TE,1,0,53.1,ROTATIONAL CONTRIBUTOR,51.2,45.5,58.8,50.0,66.2,7,34,0.2059,0.2,0.2143,0.0143,2,18,15.6,78
CIN,2026,3,T.Higgins,WR,targets,WR,2,1,51.1,RISING -- OUT-EARNING DEPTH CHART,57.4,0.0,70.3,66.7,79.5,16,65,0.2462,0.225,0.28,0.055,,,19.25,154
CIN,2026,4,A.Iosivas,WR,targets,WR,6,3,42.0,INSUFFICIENT SAMPLE,57.9,22.7,17.6,100.0,15.1,4,65,0.0615,0.025,0.12,0.095,1,18,6.33,19
